"Reference","Value","Footprint","Datasheet","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","PARTREV","SNAPEDA_PN","STANDARD","Sim.Device","Sim.Enable","Sim.Pins","Qty"
"C1-C4, C6-C8, C11-C13","100nF","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","10"
"C5","2200pF","Capacitor_SMD:C_0805_2012Metric","~","","","","","","","","","1"
"C9, C10, C14, C15","10uF","Capacitor_SMD:C_0201_0603Metric","~","","","","","","","-- mixed values --","","4"
"D1","1N5819WS","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf","","","","","","","","","1"
"D2","LED POWER","LED_SMD:LED_1206_3216Metric","~","","","","","","","","","1"
"D3-D10","1N4007","Diode_SMD:D_0201_0603Metric","http://www.vishay.com/docs/88503/1n4001.pdf","","","","","","D","","1=K 2=A","8"
"J1","TYPE-C-31-M-12","TYPE-C-31-M-12:HRO_TYPE-C-31-M-12","","HRO Electronics Co., Ltd.","3.26 mm","2020.12.08","TYPE-C-31-M-12","Manufacturer Recommendations","","","","1"
"J2","connector battery 2S Li-Po","Connector_JST:JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal","~","","","","","","","","","1"
"J3","Micro_SD_Card","Connector_Card:microSD_HC_Hirose_DM3BT-DSF-PEJS","http://katalog.we-online.de/em/datasheet/693072010801.pdf","","","","","","","","","1"
"J4","IO","Connector_PinHeader_1.27mm:PinHeader_1x08_P1.27mm_Horizontal","~","","","","","","","","","1"
"J5, J6","Conn_01x06","Connector_JST:JST_GH_BM06B-GHS-TBT_1x06-1MP_P1.25mm_Vertical","~","","","","","","","","","2"
"J7","OLED_128x64_I2C","Connector_JST:JST_GH_BM04B-GHS-TBT_1x04-1MP_P1.25mm_Vertical","~","","","","","","","","","1"
"Q1, Q2","S8050","Package_TO_SOT_THT:TO-92_Inline","http://www.unisonic.com.tw/datasheet/S8050.pdf","","","","","","","","","2"
"R1, R4, R5","10k","Resistor_SMD:R_0805_2012Metric","~","","","","","","","","","3"
"R2, R6","10k","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","2"
"R3, R7","470","Resistor_SMD:R_1206_3216Metric","~","","","","","","","","","2"
"R8","R_LED","Resistor_SMD:R_0402_1005Metric","~","","","","","","","","","1"
"SW1","reset","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","","","","","","","","","1"
"SW2","boot","Button_Switch_SMD:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","~","","","","","","","","","1"
"U1","CH340G","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953","","","","","","","","","1"
"U2","MPU-6050","Sensor_Motion:InvenSense_QFN-24_4x4mm_P0.5mm","https://store.invensense.com/datasheets/invensense/MPU-6050_DataSheet_V3%204.pdf","","","","","","","","","1"
"U3","ESP32-WROOM-32D","RF_Module:ESP32-WROOM-32","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf","","","","","","","","","1"
"U4","L298P","L298P:SOIC127P1420X360-20N","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000240.pdf","","","","","","","","","1"
"U5","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","","","1"
"U6","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf","","","","","","","","","1"
